id,prompt,image_path,source_dataset,source_split,source_index,width,height
cc_seed_0038,a moored fishing boat viewed from island .,images/cc_seed_0038.jpg,pasindu/google_conceptual_captions_20000,train,37,640,436
cc_seed_0039,vector illustration of person isolated on a white background,images/cc_seed_0039.jpg,pasindu/google_conceptual_captions_20000,train,38,1500,1600
cc_seed_0040,emergency services were called after a car smashed through a set of traffic lights,images/cc_seed_0040.jpg,pasindu/google_conceptual_captions_20000,train,39,650,488
cc_seed_0041,sheep with a black face fenced in on a winter day,images/cc_seed_0041.jpg,pasindu/google_conceptual_captions_20000,train,40,1300,951
cc_seed_0042,a small park with flags and a yellow banner around a tree in support of troops,images/cc_seed_0042.jpg,pasindu/google_conceptual_captions_20000,train,41,640,436
cc_seed_0043,isolated water glass on a white background,images/cc_seed_0043.jpg,pasindu/google_conceptual_captions_20000,train,42,450,470
cc_seed_0044,"when choosing your new outdoor color palette , opt for something that will enhance your home 's architectural style and give you plenty of curb appeal .",images/cc_seed_0044.jpg,pasindu/google_conceptual_captions_20000,train,43,736,1310
cc_seed_0045,person at a corporate event,images/cc_seed_0045.jpg,pasindu/google_conceptual_captions_20000,train,44,600,400
cc_seed_0046,bulldozer on a building site,images/cc_seed_0046.jpg,pasindu/google_conceptual_captions_20000,train,45,612,408
cc_seed_0047,person finishes at the top,images/cc_seed_0047.jpg,pasindu/google_conceptual_captions_20000,train,46,1280,801
cc_seed_0048,country shape animated on the satellite map of the globe,images/cc_seed_0048.jpg,pasindu/google_conceptual_captions_20000,train,47,852,480
cc_seed_0049,paths are clearly marked with signs like this .,images/cc_seed_0049.jpg,pasindu/google_conceptual_captions_20000,train,48,2048,1360
cc_seed_0050,putts for birdie on the second hole during the final round of the golf tournament .,images/cc_seed_0050.jpg,pasindu/google_conceptual_captions_20000,train,49,736,1183
cc_seed_0051,person shot from a cliff looking out at the lake and horizon .,images/cc_seed_0051.jpg,pasindu/google_conceptual_captions_20000,train,50,852,480
cc_seed_0052,sending this angel your way ... it lights the way with it 's tiny candle .,images/cc_seed_0052.jpg,pasindu/google_conceptual_captions_20000,train,51,442,620
cc_seed_0053,i love the colours of her clothes .,images/cc_seed_0053.jpg,pasindu/google_conceptual_captions_20000,train,52,736,1104
cc_seed_0054,a very simplified location and geological map of the area and adjacent coast,images/cc_seed_0054.jpg,pasindu/google_conceptual_captions_20000,train,53,907,650
cc_seed_0055,ask owner for photos of the car,images/cc_seed_0055.jpg,pasindu/google_conceptual_captions_20000,train,54,800,534
cc_seed_0056,"farm tractor is moving on the field , cultivating land",images/cc_seed_0056.jpg,pasindu/google_conceptual_captions_20000,train,55,852,480
cc_seed_0057,master playing with his little golden retriever dog on the lawn,images/cc_seed_0057.jpg,pasindu/google_conceptual_captions_20000,train,56,640,446
cc_seed_0058,year later the small shrubs doubled in size .,images/cc_seed_0058.jpg,pasindu/google_conceptual_captions_20000,train,57,768,912
cc_seed_0059,"according to the model , she regularly gets told it looks",images/cc_seed_0059.jpg,pasindu/google_conceptual_captions_20000,train,58,960,508
cc_seed_0060,person and the fiancee at their engagement party .,images/cc_seed_0060.jpg,pasindu/google_conceptual_captions_20000,train,59,745,721
cc_seed_0061,good night id been working like a dog i should be sleeping like a log,images/cc_seed_0061.jpg,pasindu/google_conceptual_captions_20000,train,60,640,640
cc_seed_0062,the water was never deeper than your chest .,images/cc_seed_0062.jpg,pasindu/google_conceptual_captions_20000,train,61,6016,4000
cc_seed_0063,twilight over italian gothic structure and the medieval town,images/cc_seed_0063.jpg,pasindu/google_conceptual_captions_20000,train,62,640,447
cc_seed_0064,"simple custom leather pulls for your dresser , cabinets , or doors .",images/cc_seed_0064.jpg,pasindu/google_conceptual_captions_20000,train,63,542,1024
