id,prompt,generation_prompt,negative_prompt,image_path,domain_tag,source_type,generator,base_model_checkpoint,seed,resolution,num_inference_steps,guidance_scale,quality_score,quality_score_type,quality_flag
synthetic_022,elephant walking near a watering hole in warm light,"elephant walking near a watering hole in warm light, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_022_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260432,512x512,25,7.0,0.622,technical_image_score,accepted
synthetic_023,penguins standing together on an icy shore,"penguins standing together on an icy shore, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_023_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260433,512x512,25,7.0,0.655,technical_image_score,accepted
synthetic_024,butterfly on a purple flower in a sunny garden,"butterfly on a purple flower in a sunny garden, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_024_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260434,512x512,25,7.0,0.682,technical_image_score,accepted
synthetic_025,owl sitting on a wooden fence at dusk,"owl sitting on a wooden fence at dusk, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_025_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260435,512x512,25,7.0,0.551,technical_image_score,accepted
synthetic_026,dolphin jumping above calm ocean water,"dolphin jumping above calm ocean water, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_026_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260436,512x512,25,7.0,0.664,technical_image_score,accepted
synthetic_027,singer holding a microphone on a small concert stage,"singer holding a microphone on a small concert stage, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_027_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260437,512x512,25,7.0,0.519,technical_image_score,accepted
synthetic_028,actor walking on a red carpet near photographers,"actor walking on a red carpet near photographers, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_028_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260438,512x512,25,7.0,0.549,technical_image_score,accepted
synthetic_029,business woman presenting a chart in a modern office,"business woman presenting a chart in a modern office, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_029_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260439,512x512,25,7.0,0.682,technical_image_score,accepted
synthetic_030,person dancing in colorful clothes during a city festival,"person dancing in colorful clothes during a city festival, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_030_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260440,512x512,25,7.0,0.705,technical_image_score,accepted
synthetic_031,chef preparing pasta in a bright restaurant kitchen,"chef preparing pasta in a bright restaurant kitchen, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_031_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260441,512x512,25,7.0,0.678,technical_image_score,accepted
synthetic_032,painter working on a large canvas in a studio,"painter working on a large canvas in a studio, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_032_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260442,512x512,25,7.0,0.688,technical_image_score,accepted
synthetic_033,teacher explaining a diagram on a classroom board,"teacher explaining a diagram on a classroom board, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_033_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260443,512x512,25,7.0,0.612,technical_image_score,accepted
synthetic_034,musician playing an acoustic guitar near a cafe window,"musician playing an acoustic guitar near a cafe window, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_034_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260444,512x512,25,7.0,0.694,technical_image_score,accepted
synthetic_035,photographer taking a portrait in a small studio,"photographer taking a portrait in a small studio, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_035_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260445,512x512,25,7.0,0.693,technical_image_score,accepted
synthetic_036,two friends laughing at an outdoor street market,"two friends laughing at an outdoor street market, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_036_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260446,512x512,25,7.0,0.786,technical_image_score,accepted
synthetic_037,child building a colorful toy tower on a carpet,"child building a colorful toy tower on a carpet, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_037_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260447,512x512,25,7.0,0.731,technical_image_score,accepted
synthetic_038,dancer practicing ballet in a mirrored rehearsal room,"dancer practicing ballet in a mirrored rehearsal room, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_038_people_entertainment.png,people_entertainment,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260448,512x512,25,7.0,0.664,technical_image_score,accepted
synthetic_039,minimal living room with green couch and wooden coffee table,"minimal living room with green couch and wooden coffee table, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_039_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260449,512x512,25,7.0,0.642,technical_image_score,accepted
synthetic_040,safe deposit box with paper money on a white background,"safe deposit box with paper money on a white background, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_040_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260450,512x512,25,7.0,0.679,technical_image_score,accepted
synthetic_041,modern bridge over a river with glass buildings nearby,"modern bridge over a river with glass buildings nearby, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_041_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260451,512x512,25,7.0,0.689,technical_image_score,accepted
synthetic_042,bright bus station with empty benches and morning light,"bright bus station with empty benches and morning light, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_042_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260452,512x512,25,7.0,0.723,technical_image_score,accepted
synthetic_043,small bookstore aisle with warm lamps and wooden shelves,"small bookstore aisle with warm lamps and wooden shelves, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_043_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260453,512x512,25,7.0,0.608,technical_image_score,accepted
synthetic_044,laptop and notebook on a clean office desk,"laptop and notebook on a clean office desk, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_044_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260454,512x512,25,7.0,0.698,technical_image_score,accepted
synthetic_045,old bicycle leaning against a brick wall,"old bicycle leaning against a brick wall, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_045_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260455,512x512,25,7.0,0.411,technical_image_score,accepted
synthetic_046,glass teapot and cups on a kitchen table,"glass teapot and cups on a kitchen table, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_046_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260456,512x512,25,7.0,0.716,technical_image_score,accepted
synthetic_047,quiet train platform with a yellow safety line,"quiet train platform with a yellow safety line, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_047_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260457,512x512,25,7.0,0.692,technical_image_score,accepted
synthetic_048,cozy bedroom with blue blanket and bedside lamp,"cozy bedroom with blue blanket and bedside lamp, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_048_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260458,512x512,25,7.0,0.744,technical_image_score,accepted
synthetic_049,city street corner with traffic lights after rain,"city street corner with traffic lights after rain, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_049_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260459,512x512,25,7.0,0.56,technical_image_score,accepted
synthetic_050,wooden fishing boat tied near a calm lake dock,"wooden fishing boat tied near a calm lake dock, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_050_places_objects.png,places_objects,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260460,512x512,25,7.0,0.523,technical_image_score,accepted
